Abstract,Author Keywords
"Purpose: Fuel demand forecast is a fundamental tool to guide private planning actions and public policies aim to guarantee energy supply. This paper aims to evaluate different forecasting methods to project the consumption of light fuels in Brazil (fuel used by vehicles with internal combustion engine). Design/methodology/approach: Eight different methods were implemented, besides of ensemble learning technics that combine the different models. The evaluation was carried out based on the forecast error for a forecast horizon of 3, 6 and 12 months. Findings: The statistical tests performed indicated the superiority of the evaluated models compared to a naive forecasting method. As the forecast horizon increase, the heterogeneity between the accuracy of the models becomes evident and the classification by performance becomes easier. Furthermore, for 12 months forecast, it was found methods that outperform, with statistical significance, the SARIMA method, that is widely used. Even with an unprecedented event, such as the COVID-19 crisis, the results proved to be robust. Practical implications: Some regulation instruments in Brazilian fuel market requires the forecast of light fuel consumption to better deal with supply and environment issues. In that context, the level of accuracy reached allows the use of these models as tools to assist public and private agents that operate in this market. Originality/value: The study seeks to fill a gap in the literature on the Brazilian light fuel market. In addition, the methodological strategy adopted assesses projection models from different areas of knowledge using a robust evaluation procedure. © 2021, Emerald Publishing Limited.",Autoregressive; Biofuels; Co-integration; Demand forecasting; Demand-side management; Econometric; Forecast evaluation; Forecasting; Forecasting methods; Fuel demand; Fuzzy-logic model; Gasoline; Liquid fuels; Machine learning; Neural networks; Time series; Time series analysis
"Short-term forecasting of the COVID-19 pandemic is required to facilitate the planning of COVID-19 health care demand in hospitals. Here, we evaluate the performance of 12 individual models and 19 predictors to anticipate French COVID-19-related health care needs from September 7, 2020, toMarch 6, 2021.We then build an ensemble model by combining the individual forecasts and retrospectively test this model from March 7, 2021, to July 6, 2021. We find that the inclusion of early predictors (epidemiological, mobility, and meteorological predictors) can halve the rms error for 14-d-ahead forecasts, with epidemiological and mobility predictors contributing the most to the improvement. On average, the ensemble model is the best or second-best model, depending on the evaluation metric. Our approach facilitates the comparison and benchmarking of competing models through their integration in a coherent analytical framework, ensuring that avenues for future improvements can be identified. © 2022 the Author(s).",COVID-19; ensemble model; forecasting
"Background: The rollout of vaccines for COVID-19 in the United Kingdom started in December 2020. Uptake has been high, and there has been a subsequent reduction in infections, hospitalizations, and deaths among vaccinated individuals. However, vaccine hesitancy remains a concern, in particular relating to adverse effects following immunization (AEFIs). Social media analysis has the potential to inform policy makers about AEFIs being discussed by the public as well as public attitudes toward the national immunization campaign. Objective: We sought to assess the frequency and nature of AEFI-related mentions on social media in the United Kingdom and to provide insights on public sentiments toward COVID-19 vaccines. Methods: We extracted and analyzed over 121,406 relevant Twitter and Facebook posts, from December 8, 2020, to April 30, 2021. These were thematically filtered using a 2-step approach, initially using COVID-19–related keywords and then using vaccine- and manufacturer-related keywords. We identified AEFI-related keywords and modeled their word frequency to monitor their trends over 2-week periods. We also adapted and utilized our recently developed hybrid ensemble model, which combines state-of-the-art lexicon rule–based and deep learning–based approaches, to analyze sentiment trends relating to the main vaccines available in the United Kingdom. Results: Our COVID-19 AEFI search strategy identified 46,762 unique Facebook posts by 14,346 users and 74,644 tweets (excluding retweets) by 36,446 users over the 4-month period. We identified an increasing trend in the number of mentions for each AEFI on social media over the study period. The most frequent AEFI mentions were found to be symptoms related to appetite (n=79,132, 14%), allergy (n=53,924, 9%), injection site (n=56,152, 10%), and clots (n=43,907, 8%). We also found some rarely reported AEFIs such as Bell palsy (n=11,909, 2%) and Guillain-Barre syndrome (n=9576, 2%) being discussed as frequently as more well-known side effects like headache (n=10,641, 2%), fever (n=12,707, 2%), and diarrhea (n=16,559, 3%). Overall, we found public sentiment toward vaccines and their manufacturers to be largely positive (58%), with a near equal split between negative (22%) and neutral (19%) sentiments. The sentiment trend was relatively steady over time and had minor variations, likely based on political and regulatory announcements and debates. Conclusions: The most frequently discussed COVID-19 AEFIs on social media were found to be broadly consistent with those reported in the literature and by government pharmacovigilance. We also detected potential safety signals from our analysis that have been detected elsewhere and are currently being investigated. As such, we believe our findings support the use of social media analysis to provide a complementary data source to conventional knowledge sources being used for pharmacovigilance purposes. ©Zain Hussain, Zakariya Sheikh, Ahsen Tahir, Kia Dashtipour, Mandar Gogate, Aziz Sheikh, Amir Hussain.",artificial intelligence; COVID-19; deep learning; Facebook; health informatics; infodemiology; natural language processing; public health; sentiment analysis; social media; Twitter; vaccination
"A healthcare monitoring system needs the support of recent technologies such as artificial intelligence (AI), machine learning (ML), and big data, especially during the COVID-19 pandemic. This global pandemic has already taken millions of lives. Both infected and uninfected people have generated big data where AI and ML can use to combat and detect COVID-19 at an early stage. Motivated by this, an improved ML framework for the early detection of this disease is proposed in this paper. The state-of-the-art Harris hawks optimization (HHO) algorithm with an improved objective function is proposed and applied to optimize the hyperparameters of the ML algorithms, namely HHO-based eXtreme gradient boosting (HHOXGB), light gradient boosting (HHOLGB), categorical boosting (HHOCAT), random forest (HHORF) and support vector classifier (HHOSVC). An ensemble technique was applied to these optimized ML models to improve the prediction performance. Our proposed method was applied to publicly available big COVID-19 data and yielded a prediction accuracy of 92.38% using the ensemble model. In contrast, HHOXGB provided the highest accuracy of 92.23% as a single optimized model. The performance of the proposed method was compared with the traditional algorithms and other ML-based methods. In both cases, our proposed method performed better. Furthermore, not only the classification improvement, but also the features are analyzed in terms of feature importance calculated by SHapely adaptive exPlanations (SHAP) values. A graphical user interface is also discussed as a potential tool for nonspecialist users such as clinical staff and nurses. The processed data, trained model, and codes related to this study are available at GitHub. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",big COVID-19 data; decision support system; healthcare; HHO; machine learning
"Urban air pollution is a health hazard linked to anthropogenic emissions. Reliable evaluation of changes in pollutants due to altered emissions requires considering meteorological and other variability influencing concentrations. Here, a combination of ensemble learning, competitive learning and unsupervised clustering is proposed and applied to leverage the change analysis of particulate matter (PM2.5) and other pollutants. Machine Learning (ML) algorithms Random Forest (RF) and Self-Organizing Map (SOM) were trained with historical meteorological data, pollutant concentrations and traffic indicators. The importance of different variables for local PM2.5 was determined with RF. SOM was configured for multivariable cluster analysis. The trained SOM enabled predicting a cluster for new data representing conditions with shifted anthropogenic activity. The prediction forms a benchmark for the analysed period with maximized meteorological similarity, which facilitates identifying changes in ambient pollutants due to changed emissions. The method was applied to data from the start of COVID-19 pandemic, 3/2020, when emissions suddenly decreased. For measurements from Helsinki, Finland, the SOM yielded a statistically significant change in PM2.5 (?0.7%), NO2 (?33%) and O3 (+17%). Comparing data from 3/2020 to data from 3/2017–2019 produced different results (PM2.5 ?1.7%, NO2 ?37%, O3 ?4.0%). Statistical indicators confirmed better compatibility between the analysed period and its benchmark when using the SOM prediction instead of calendar-based selection: Average RMSRE was 19%-points lower and Willmott's dr 41% higher with SOM than with 3/2017–2019. Based on the case study and method evaluation, using ML for multivariate analysis of changed air pollution is feasible and yields meaningful results. © 2022 Turkish National Committee for Air Pollution Research and Control",Air pollution; Change analysis; Particulate matter; Random forest; Self-organizing map
"Deep learning models demonstrate superior performance in image classification problems. COVID-19 image classification is developed using single deep learning models. In this paper, an efficient hardware architecture based on an ensemble deep learning model is built to identify the COVID-19 using chest X-ray (CXR) records. Five deep learning models namely ResNet, fitness, IRCNN (Inception Recurrent Convolutional Neural Network), effectiveness, and Fitnet are ensembled for fine-tuning and enhancing the performance of the COVID-19 identification; these models are chosen as they individually perform better in other applications. Experimental analysis shows that the accuracy, precision, recall, and F1 for COVID-19 detection are 0.99,0.98,0.98, and 0.98 respectively. An application-specific hardware architecture incorporates the pipeline, parallel processing, reusability of computational resources by carefully exploiting the data flow and resource availability. The processing element (PE) and the CNN architecture are modeled using Verilog, simulated, and synthesized using cadence with Taiwan Semiconductor Manufacturing Co Ltd (TSMC) 90 nm tech file. The simulated results show a 40% reduction in the latency and number of clock cycles. The computations and power consumptions are minimized by designing the PE as a data-aware unit. Thus, the proposed architecture is best suited for Covid-19 prediction and diagnosis. © 2022",Accuracy; COVID-19; Data-aware computational unit; Deep learning; Ensemble; Latency of CNN; Performance; Pre-training
SignificanceThis paper compares the probabilistic accuracy of short-term forecasts of reported deaths due to COVID-19 during the first year and a half of the pandemic in the United States. Results show high variation in accuracy between and within stand-alone models and more consistent accuracy from an ensemble model that combined forecasts from all eligible models. This demonstrates that an ensemble model provided a reliable and comparatively accurate means of forecasting deaths during the COVID-19 pandemic that exceeded the performance of all of the models that contributed to it. This work strengthens the evidence base for synthesizing multiple models to support public-health action.,COVID-19; ensemble forecast; forecasting; model evaluation
"User-generated content on numerous sites is indicative of users’ sentiment towards many issues, from daily food intake to using new products. Amid the active usage of social networks and micro-blogs, notably during the COVID-19 pandemic, we may glean insights into any product or service through users’ feedback and opinions. Thus, it is often difficult and time consuming to go through all the reviews and analyse them in order to recognize the notion of the overall goodness or badness of the reviews before making any decision. To overcome this challenge, sentiment analysis has been used as an effective rapid way to automatically gauge consumers’ opinions. Large reviews will possibly encompass both positive and negative opinions on different features of a product/service in the same review. Therefore, this paper proposes an aspect-oriented sentiment classification using a combination of the prior knowledge topic model algorithm (SA-LDA), automatic labelling (SentiWordNet) and ensemble method (Stacking). The framework is evaluated using the dataset from different domains. The results have shown that the proposed SA-LDA outperformed the standard LDA. In addition, the suggested ensemble learning classifier has increased the accuracy of the classifier by more than ~3% when it is compared to baseline classification algorithms. The study concluded that the proposed approach is equally adaptable across multi-domain applications. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",data labelling; ensemble learning; prior knowledge; sentiment classification; stacked generalization; topic models
"Education is an important domain that may be improved by analyzing the sentiments of learners and educators. Evaluating the sustainability of the education system is critical for the continuous improvement and satisfaction of the learner’s community. This research work focused on the evaluation of the effectiveness of the online education system that has been adopted during the COVID-19 pandemic. For this purpose, sentiments/reviews of learners were collected from the Twitter website regarding the education domain during COVID-19. To automate the process of evaluation, a hybrid approach was applied that used a knowledgebase of opinion words along with machine learning and boosting algorithms with n-grams (unigram, bigram, trigram and combination of all these n-grams). This automated approach helped to evaluate the transition of the education system in different circumstances. An ensemble classifier was created in combination with a customized knowledgebase using classifiers that individually performed best with each of the n-grams. Due to the imbalanced nature of the data (tweets), these operations were performed by applying the synthetic minority oversampling technique (SMOTE). The obtained results show that the use of a customized knowledgebase not only improved the performance of the individual classifiers but also produced quality results with the ensemble model. As per the observed results, the online education system was not found sustainable as the majority of the learners were badly affected due to some important aspects (health issues, lack of training and resources). © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",ensemble; machine learning; online education; sentiment analysis; SMOTE; sustainability
"The use of face masks has increased dramatically since the COVID-19 pandemic started in order to to curb the spread of the disease. Additionally, breakthrough infections caused by the Delta and Omicron variants have further increased the importance of wearing a face mask, even for vaccinated individuals. However, the use of face masks also induces attenuation in speech signals, and this change may impact speech processing technologies, e.g., automated speaker verification (ASV) and speech to text conversion. In this paper we examine Automatic Speaker Verification (ASV) systems against the speech samples in the presence of three different types of face mask: surgical, cloth, and filtered N95, and analyze the impact on acoustics and other factors. In addition, we explore the effect of different microphones, and distance from the microphone, and the impact of face masks when speakers use ASV systems in real-world scenarios. Our analysis shows a significant deterioration in performance when an ASV system encounters different face masks, microphones, and variable distance between the subject and microphone. To address this problem, this paper proposes a novel framework to overcome performance degradation in these scenarios by realigning the ASV system. The novelty of the proposed ASV framework is as follows: first, we propose a fused feature descriptor by concatenating the novel Ternary Deviated overlapping Patterns (TDoP), Mel Frequency Cepstral Coefficients (MFCC), and Gammatone Cepstral Coefficients (GTCC), which are used by both the ensemble learning-based ASV and anomaly detection system in the proposed ASV architecture. Second, this paper proposes an anomaly detection model for identifying vocal samples produced in the presence of face masks. Next, it presents a Peak Norm (PN) filter to approximate the signal of the speaker without a face mask in order to boost the accuracy of ASV systems. Finally, the features of filtered samples utilizing the PN filter and samples without face masks are passed to the proposed ASV to test for improved accuracy. The proposed ASV system achieved an accuracy of 0.99 and 0.92, respectively, on samples recorded without a face mask and with different face masks. Although the use of face masks affects the ASV system, the PN filtering solution overcomes this deficiency up to 4%. Similarly, when exposed to different microphones and distances, the PN approach enhanced system accuracy by up to 7% and 9%, respectively. The results demonstrate the effectiveness of the presented framework against an in-house prepared, diverse Multi Speaker Face Masks (MSFM) dataset, (IRB No. FY2021-83), consisting of samples of subjects taken with a variety of face masks and microphones, and from different distances. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",anomaly detection; audio forensics; automatic speaker verification; cloth face masks; COVID-19; face masks; filtered N95; surgical
"The COVID-19 epidemic has highlighted the significance of sanitization and maintaining hygienic access to clean water to reduce mortality and morbidity cases worldwide. Diarrhea is one of the prevalent waterborne diseases caused due to contaminated water in many low-income countries with similar living conditions. According to the latest statistics from the World Health Organization (WHO), diarrhea is among the top five primary causes of death worldwide in low-income nations. The condition affects people in every age group due to a lack of proper water used for daily living. In this study, a stacking ensemble machine learning model was employed against traditional models to extract clinical knowledge for better understanding patients’ characteristics; disease prevalence; hygienic conditions; quality of water used for cooking, bathing, and toiletries; chemicals used; therapist’s medications; and symptoms that are reflected in the field study data. Results revealed that the ensemble model provides higher accuracy with 98.90% as part of training and testing phases when experimented against frequently used J48, Naïve Bayes, SVM, NN, PART, Random Forest, and Logistic Regression models. Managing outcomes of this research in the early stages could assist people in low-income countries to have a better lifestyle, fewer infections, and minimize expensive hospital visits. © 2022 by the author. Licensee MDPI, Basel, Switzerland.",Artificial intelligence; Classification algorithm; Data mining; Machine learning; Prevalence and management; Public health; Retrospective analysis; Waterborne disease
"In December 2019, Severe Special Infectious Pneumonia (SARS-CoV-2)–the novel coron-avirus (COVID-19)– appeared for the first time, breaking out in Wuhan, China, and the epidemic spread quickly to the world in a very short period time. According to WHO data, ten million people have been infected, and more than one million people have died; moreover, the economy has also been severely hit. In an outbreak of an epidemic, people are concerned about the final number of infections. Therefore, effectively predicting the number of confirmed cases in the future can provide a reference for decision-makers to make decisions and avoid the spread of deadly epidemics. In recent years, the ?-Sutte indicator method is an excellent predictor in short-term forecasting; however, the ?-Sutte indicator uses fixed static weights. In this study, by adding an error-based dynamic weighting method, a novel ?-Sutte indicator is proposed. Combined with ARIMA as an ensemble model (?SA), the forecasting of the future COVID-19 daily cumulative number of cases and the number of new cases in the US are evaluated from the experiment. The experimental results show that the forecasting accuracy of ?SA proposed in this study is better than other methods in forecasting with metrics MAPE and RMSE. It proves the feasibility of adding error-based dynamic weights in the ?-Sutte indicator in the area of forecasting. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",COVID-19; Ensemble model; Forecasting; Time-series; ?-Sutte indicator
"Current research endeavors in the application of artificial intelligence (AI) methods in the diagnosis of the COVID-19 disease has proven indispensable with very promising results. Despite these promising results, there are still limitations in real-time detection of COVID-19 using reverse transcription polymerase chain reaction (RT-PCR) test data, such as limited datasets, imbalance classes, a high misclassification rate of models, and the need for specialized research in identifying the best features and thus improving prediction rates. This study aims to investigate and apply the ensemble learning approach to develop prediction models for effective detection of COVID-19 using routine laboratory blood test results. Hence, an ensemble machine learning-based COVID-19 detection system is presented, aiming to aid clinicians to diagnose this virus effectively. The experiment was conducted using custom convolutional neural network (CNN) models as a first-stage classifier and 15 supervised machine learning algorithms as a second-stage classifier: K-Nearest Neighbors, Support Vector Machine (Linear and RBF), Naive Bayes, Decision Tree, Random Forest, MultiLayer Perceptron, AdaBoost, ExtraTrees, Logistic Regression, Linear and Quadratic Discriminant Analysis (LDA/QDA), Passive, Ridge, and Stochastic Gradient Descent Classifier. Our findings show that an ensemble learning model based on DNN and ExtraTrees achieved a mean accuracy of 99.28% and area under curve (AUC) of 99.4%, while AdaBoost gave a mean accuracy of 99.28% and AUC of 98.8% on the San Raffaele Hospital dataset, respectively. The comparison of the proposed COVID-19 detection approach with other state-of-the-art approaches using the same dataset shows that the proposed method outperforms several other COVID-19 diagnostics methods. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Blood tests; COVID-19; Deep learning; Diagnostic model; Ensemble learning; Small data
"COVID-19 pandemic has caused a global health crisis, resulting in endless efforts to reduce infections, fatalities, and therapies to mitigate its after-effects. Currently, large and fast-paced vaccination campaigns are in the process to reduce COVID-19 infection and fatality risks. Despite recommendations from governments and medical experts, people show conceptions and perceptions regarding vaccination risks and share their views on social media platforms. Such opinions can be analyzed to determine social trends and devise policies to increase vaccination acceptance. In this regard, this study proposes a methodology for analyzing the global perceptions and perspectives towards COVID-19 vaccination using a worldwide Twitter dataset. The study relies on two techniques to analyze the sentiments: natural language processing and machine learning. To evaluate the performance of the different lexicon-based methods, different machine and deep learning models are studied. In addition, for sentiment classification, the proposed ensemble model named long short-term memory-gated recurrent neural network (LSTM-GRNN) is a combination of LSTM, gated recurrent unit, and recurrent neural networks. Results suggest that the TextBlob shows better results as compared to VADER and AFINN. The proposed LSTM-GRNN shows superior performance with a 95% accuracy and outperforms both machine and deep learning models. Performance analysis with state-of-the-art models proves the significance of the LSTM-GRNN for sentiment analysis. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",COVID-19 vaccination; Deep learning; Healthcare; Lexicon-based approaches; Sentiment analysis
"As influenza viruses mutate rapidly, a prediction model for potential outbreaks of influenza-like illnesses helps detect the spread of the illnesses in real time. In order to create a better prediction model, in this study, in addition to using the traditional hydrological and atmospheric data, features, such as popular search keywords on Google Trends, public holiday information, population density, air quality indices, and the numbers of COVID-19 confirmed cases, were also used to train the model in this research. Furthermore, Random Forest and XGBoost were combined and used in the proposed prediction model to increase the prediction accuracy. The training data used in this research were the historical data taken from 2016 to 2021. In our experiments, different combinations of features were tested. The results show that features, such as popular search keywords on Google Trends, the numbers of COVID-19 confirmed cases, and air quality indices can improve the outcome of the prediction model. The evaluation results showed that the error rate between the predicted results and the actual number of influenza-like cases form Week 15 to Week 18 fell to less than 5%. The outbreak of COVID-19 in Taiwan began in Week 19 and resulted in a sharp rise in the number of clinic or hospital visits by patients of influenza-like illnesses. After that, from Week 21 to Week 26, the error rate between the predicted and actual numbers of influenza-like cases in the later period dropped down to 13%. It can be confirmed from the actual experimental results in this research that the use of the ensemble learning prediction model proposed in this research can accurately predict the trend of influenza-like cases. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",COVID-19; Forecasting of influenza-like illnesses; Monitoring and early warning; Public opinion analysis
